*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motor
*Date=10:38:17
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
85;;THT;131.738;-79.152;-90;Bottom;R Y
86;;;59.6475;-33.2515;0;Bottom;J1
87;;v18za2p;171.479;-65.3796;-90;Bottom;M2
88;;THT;76.45;-40.6026;0;Bottom;XTAL
89;;[THT];54.8974;-45.2515;90;Bottom;RESET1
90;10;THT;110.904;-37.516;-90;Bottom;R4
91;1.8k;THT;115.457;-26.0013;0;Bottom;R5
92;220;THT;111.594;-65.1359;0;Bottom;C1
93;;cpol-radial-1000uf-25v;123.147;-49.4613;-90;Bottom;C2
94;12V;THT;15.3281;-57.4354;-90;Bottom;RL1
95;390;THT;113.904;-41.3542;90;Bottom;R3
96;56k;THT;161.479;-69.2596;90;Bottom;R23
97;100;THT;111.095;-70.6361;0;Bottom;R2
98;;jst-2-pth;129.547;-58.5015;-90;Bottom;TRF
99;;v18za2p;157.345;-65.4062;-90;Bottom;M1
100;56k;THT;153.345;-69.2862;90;Bottom;R22
101;;THT;164.312;-80.5853;-90;Bottom;B Y R
102;;;39.9659;-11.3752;0;Bottom;TXT6
103;;;36.2456;-8.47214;0;Bottom;TXT7
104;;5 mm [THT];100.556;-73.636;90;Bottom;+  -
105;;;35.815;-43.9464;0;Bottom;TXT9
106;;os;128.574;-38.0079;90;Bottom;ON/OFF
107;;cpol-radial-1000uf-25v;94.7853;-39.5912;-90;Bottom;C4
108;;diode-1n4001;167.979;-56.6493;-90;Bottom;D7
109;1k;THT;76.9046;-17.1715;-90;Bottom;R16
110;;;132.163;-18.1276;0;Bottom;TXT10
